type,question_id,question,button_name,country
"men,divorce","men,divorce,Democratic Republic of the Congo",The majority of men in Democratic Republic of the Congo view divorce as,How men feel about divorce,Democratic Republic of the Congo
"women,abortion","women,abortion,Democratic Republic of the Congo",The majority of women in Democratic Republic of the Congo view abortion as,How women feel about abortion,Democratic Republic of the Congo
"women,divorce","women,divorce,Democratic Republic of the Congo",The majority of women in Democratic Republic of the Congo view divorce as,How women feel about divorce,Democratic Republic of the Congo
"men,abortion","men,abortion,Republic of Congo",The majority of men in Republic of Congo view abortion as,How men feel about abortion,Republic of Congo
"men,divorce","men,divorce,Republic of Congo",The majority of men in Republic of Congo view divorce as,How men feel about divorce,Republic of Congo
"women,abortion","women,abortion,Republic of Congo",The majority of women in Republic of Congo view abortion as,How women feel about abortion,Republic of Congo
"women,divorce","women,divorce,Republic of Congo",The majority of women in Republic of Congo view divorce as,How women feel about divorce,Republic of Congo
"men,abortion","men,abortion,New Zealand",The majority of men in New Zealand view abortion as,How men feel about abortion,New Zealand
"men,divorce","men,divorce,New Zealand",The majority of men in New Zealand view divorce as,How men feel about divorce,New Zealand
"women,abortion","women,abortion,New Zealand",The majority of women in New Zealand view abortion as,How women feel about abortion,New Zealand
"women,divorce","women,divorce,New Zealand",The majority of women in New Zealand view divorce as,How women feel about divorce,New Zealand
"men,abortion","men,abortion,Colombia",The majority of men in Colombia view abortion as,How men feel about abortion,Colombia
"men,divorce","men,divorce,Colombia",The majority of men in Colombia view divorce as,How men feel about divorce,Colombia
"women,abortion","women,abortion,Colombia",The majority of women in Colombia view abortion as,How women feel about abortion,Colombia
"women,divorce","women,divorce,Colombia",The majority of women in Colombia view divorce as,How women feel about divorce,Colombia
"men,abortion","men,abortion,Comoros",The majority of men in Comoros view abortion as,How men feel about abortion,Comoros
"men,divorce","men,divorce,Comoros",The majority of men in Comoros view divorce as,How men feel about divorce,Comoros
"women,abortion","women,abortion,Comoros",The majority of women in Comoros view abortion as,How women feel about abortion,Comoros
"women,divorce","women,divorce,Comoros",The majority of women in Comoros view divorce as,How women feel about divorce,Comoros
"men,abortion","men,abortion,Cape Verde",The majority of men in Cape Verde view abortion as,How men feel about abortion,Cape Verde
"men,divorce","men,divorce,Cape Verde",The majority of men in Cape Verde view divorce as,How men feel about divorce,Cape Verde
"women,abortion","women,abortion,Cape Verde",The majority of women in Cape Verde view abortion as,How women feel about abortion,Cape Verde
"women,divorce","women,divorce,Cape Verde",The majority of women in Cape Verde view divorce as,How women feel about divorce,Cape Verde
"men,abortion","men,abortion,Costa Rica",The majority of men in Costa Rica view abortion as,How men feel about abortion,Costa Rica
"men,divorce","men,divorce,Costa Rica",The majority of men in Costa Rica view divorce as,How men feel about divorce,Costa Rica
"women,abortion","women,abortion,Costa Rica",The majority of women in Costa Rica view abortion as,How women feel about abortion,Costa Rica
"women,divorce","women,divorce,Costa Rica",The majority of women in Costa Rica view divorce as,How women feel about divorce,Costa Rica
"men,abortion","men,abortion,Cuba",The majority of men in Cuba view abortion as,How men feel about abortion,Cuba
"men,divorce","men,divorce,Cuba",The majority of men in Cuba view divorce as,How men feel about divorce,Cuba
"women,abortion","women,abortion,Cuba",The majority of women in Cuba view abortion as,How women feel about abortion,Cuba
"women,divorce","women,divorce,Cuba",The majority of women in Cuba view divorce as,How women feel about divorce,Cuba
"men,abortion","men,abortion,Northern Cyprus",The majority of men in Northern Cyprus view abortion as,How men feel about abortion,Northern Cyprus
"men,divorce","men,divorce,Northern Cyprus",The majority of men in Northern Cyprus view divorce as,How men feel about divorce,Northern Cyprus
"women,abortion","women,abortion,Northern Cyprus",The majority of women in Northern Cyprus view abortion as,How women feel about abortion,Northern Cyprus
"women,divorce","women,divorce,Northern Cyprus",The majority of women in Northern Cyprus view divorce as,How women feel about divorce,Northern Cyprus
"men,abortion","men,abortion,Cyprus",The majority of men in Cyprus view abortion as,How men feel about abortion,Cyprus
"men,divorce","men,divorce,Cyprus",The majority of men in Cyprus view divorce as,How men feel about divorce,Cyprus
"women,abortion","women,abortion,Cyprus",The majority of women in Cyprus view abortion as,How women feel about abortion,Cyprus
"women,divorce","women,divorce,Cyprus",The majority of women in Cyprus view divorce as,How women feel about divorce,Cyprus
"men,abortion","men,abortion,Czech Republic",The majority of men in Czech Republic view abortion as,How men feel about abortion,Czech Republic
"men,divorce","men,divorce,Czech Republic",The majority of men in Czech Republic view divorce as,How men feel about divorce,Czech Republic
"women,abortion","women,abortion,Czech Republic",The majority of women in Czech Republic view abortion as,How women feel about abortion,Czech Republic
"women,divorce","women,divorce,Czech Republic",The majority of women in Czech Republic view divorce as,How women feel about divorce,Czech Republic
"men,abortion","men,abortion,Germany",The majority of men in Germany view abortion as,How men feel about abortion,Germany
"men,divorce","men,divorce,Germany",The majority of men in Germany view divorce as,How men feel about divorce,Germany
"women,abortion","women,abortion,Germany",The majority of women in Germany view abortion as,How women feel about abortion,Germany
"women,divorce","women,divorce,Germany",The majority of women in Germany view divorce as,How women feel about divorce,Germany
"men,abortion","men,abortion,Djibouti",The majority of men in Djibouti view abortion as,How men feel about abortion,Djibouti
"men,divorce","men,divorce,Djibouti",The majority of men in Djibouti view divorce as,How men feel about divorce,Djibouti
"women,abortion","women,abortion,Djibouti",The majority of women in Djibouti view abortion as,How women feel about abortion,Djibouti
"women,divorce","women,divorce,Djibouti",The majority of women in Djibouti view divorce as,How women feel about divorce,Djibouti
"men,abortion","men,abortion,Dominica",The majority of men in Dominica view abortion as,How men feel about abortion,Dominica
"men,divorce","men,divorce,Dominica",The majority of men in Dominica view divorce as,How men feel about divorce,Dominica
"women,abortion","women,abortion,Dominica",The majority of women in Dominica view abortion as,How women feel about abortion,Dominica
"women,divorce","women,divorce,Dominica",The majority of women in Dominica view divorce as,How women feel about divorce,Dominica
"men,abortion","men,abortion,Denmark",The majority of men in Denmark view abortion as,How men feel about abortion,Denmark
"men,divorce","men,divorce,Denmark",The majority of men in Denmark view divorce as,How men feel about divorce,Denmark
"women,abortion","women,abortion,Denmark",The majority of women in Denmark view abortion as,How women feel about abortion,Denmark
"women,divorce","women,divorce,Denmark",The majority of women in Denmark view divorce as,How women feel about divorce,Denmark
"men,abortion","men,abortion,Dominican Republic",The majority of men in Dominican Republic view abortion as,How men feel about abortion,Dominican Republic
"men,divorce","men,divorce,Dominican Republic",The majority of men in Dominican Republic view divorce as,How men feel about divorce,Dominican Republic
"women,abortion","women,abortion,Dominican Republic",The majority of women in Dominican Republic view abortion as,How women feel about abortion,Dominican Republic
"women,divorce","women,divorce,Dominican Republic",The majority of women in Dominican Republic view divorce as,How women feel about divorce,Dominican Republic
"men,abortion","men,abortion,Algeria",The majority of men in Algeria view abortion as,How men feel about abortion,Algeria
"men,divorce","men,divorce,Algeria",The majority of men in Algeria view divorce as,How men feel about divorce,Algeria
"women,abortion","women,abortion,Algeria",The majority of women in Algeria view abortion as,How women feel about abortion,Algeria
"women,divorce","women,divorce,Algeria",The majority of women in Algeria view divorce as,How women feel about divorce,Algeria
"men,abortion","men,abortion,Ecuador",The majority of men in Ecuador view abortion as,How men feel about abortion,Ecuador
"men,divorce","men,divorce,Ecuador",The majority of men in Ecuador view divorce as,How men feel about divorce,Ecuador
"women,abortion","women,abortion,Ecuador",The majority of women in Ecuador view abortion as,How women feel about abortion,Ecuador
"women,divorce","women,divorce,Ecuador",The majority of women in Ecuador view divorce as,How women feel about divorce,Ecuador
"men,abortion","men,abortion,Egypt",The majority of men in Egypt view abortion as,How men feel about abortion,Egypt
"men,divorce","men,divorce,Egypt",The majority of men in Egypt view divorce as,How men feel about divorce,Egypt
"women,abortion","women,abortion,Egypt",The majority of women in Egypt view abortion as,How women feel about abortion,Egypt
"women,divorce","women,divorce,Egypt",The majority of women in Egypt view divorce as,How women feel about divorce,Egypt
"men,abortion","men,abortion,Eritrea",The majority of men in Eritrea view abortion as,How men feel about abortion,Eritrea
"men,divorce","men,divorce,Eritrea",The majority of men in Eritrea view divorce as,How men feel about divorce,Eritrea
"women,abortion","women,abortion,Eritrea",The majority of women in Eritrea view abortion as,How women feel about abortion,Eritrea
"women,divorce","women,divorce,Eritrea",The majority of women in Eritrea view divorce as,How women feel about divorce,Eritrea
"men,abortion","men,abortion,Spain",The majority of men in Spain view abortion as,How men feel about abortion,Spain
"men,divorce","men,divorce,Spain",The majority of men in Spain view divorce as,How men feel about divorce,Spain
"women,abortion","women,abortion,Spain",The majority of women in Spain view abortion as,How women feel about abortion,Spain
"women,divorce","women,divorce,Spain",The majority of women in Spain view divorce as,How women feel about divorce,Spain
"men,abortion","men,abortion,Estonia",The majority of men in Estonia view abortion as,How men feel about abortion,Estonia
"men,divorce","men,divorce,Estonia",The majority of men in Estonia view divorce as,How men feel about divorce,Estonia
"women,abortion","women,abortion,Estonia",The majority of women in Estonia view abortion as,How women feel about abortion,Estonia
"women,divorce","women,divorce,Estonia",The majority of women in Estonia view divorce as,How women feel about divorce,Estonia
"men,abortion","men,abortion,Ethiopia",The majority of men in Ethiopia view abortion as,How men feel about abortion,Ethiopia
"men,divorce","men,divorce,Ethiopia",The majority of men in Ethiopia view divorce as,How men feel about divorce,Ethiopia
"women,abortion","women,abortion,Ethiopia",The majority of women in Ethiopia view abortion as,How women feel about abortion,Ethiopia
"women,divorce","women,divorce,Ethiopia",The majority of women in Ethiopia view divorce as,How women feel about divorce,Ethiopia
"men,abortion","men,abortion,Fiji",The majority of men in Fiji view abortion as,How men feel about abortion,Fiji
"men,divorce","men,divorce,Fiji",The majority of men in Fiji view divorce as,How men feel about divorce,Fiji
"women,abortion","women,abortion,Fiji",The majority of women in Fiji view abortion as,How women feel about abortion,Fiji
"women,divorce","women,divorce,Fiji",The majority of women in Fiji view divorce as,How women feel about divorce,Fiji
"men,abortion","men,abortion,Federated States of Micronesia",The majority of men in Federated States of Micronesia view abortion as,How men feel about abortion,Federated States of Micronesia
"men,divorce","men,divorce,Federated States of Micronesia",The majority of men in Federated States of Micronesia view divorce as,How men feel about divorce,Federated States of Micronesia
"women,abortion","women,abortion,Federated States of Micronesia",The majority of women in Federated States of Micronesia view abortion as,How women feel about abortion,Federated States of Micronesia
"women,divorce","women,divorce,Federated States of Micronesia",The majority of women in Federated States of Micronesia view divorce as,How women feel about divorce,Federated States of Micronesia
"men,abortion","men,abortion,Gabon",The majority of men in Gabon view abortion as,How men feel about abortion,Gabon
"men,divorce","men,divorce,Gabon",The majority of men in Gabon view divorce as,How men feel about divorce,Gabon
"women,abortion","women,abortion,Gabon",The majority of women in Gabon view abortion as,How women feel about abortion,Gabon
"women,divorce","women,divorce,Gabon",The majority of women in Gabon view divorce as,How women feel about divorce,Gabon
"men,abortion","men,abortion,Georgia",The majority of men in Georgia view abortion as,How men feel about abortion,Georgia
"men,divorce","men,divorce,Georgia",The majority of men in Georgia view divorce as,How men feel about divorce,Georgia
"women,abortion","women,abortion,Georgia",The majority of women in Georgia view abortion as,How women feel about abortion,Georgia
"women,divorce","women,divorce,Georgia",The majority of women in Georgia view divorce as,How women feel about divorce,Georgia
"men,abortion","men,abortion,Ghana",The majority of men in Ghana view abortion as,How men feel about abortion,Ghana
"men,divorce","men,divorce,Ghana",The majority of men in Ghana view divorce as,How men feel about divorce,Ghana
