type,question_id,question,button_name,country
"men,divorce","men,divorce,Bangladesh",Summarize what most men in Bangladesh think of divorce.,How men feel about divorce,Bangladesh
"women,abortion","women,abortion,Bangladesh",Summarize what most women in Bangladesh think of abortion.,How women feel about abortion,Bangladesh
"women,divorce","women,divorce,Bangladesh",Summarize what most women in Bangladesh think of divorce.,How women feel about divorce,Bangladesh
"men,abortion","men,abortion,Bulgaria",Summarize what most men in Bulgaria think of abortion.,How men feel about abortion,Bulgaria
"men,divorce","men,divorce,Bulgaria",Summarize what most men in Bulgaria think of divorce.,How men feel about divorce,Bulgaria
"women,abortion","women,abortion,Bulgaria",Summarize what most women in Bulgaria think of abortion.,How women feel about abortion,Bulgaria
"women,divorce","women,divorce,Bulgaria",Summarize what most women in Bulgaria think of divorce.,How women feel about divorce,Bulgaria
"men,abortion","men,abortion,Bahrain",Summarize what most men in Bahrain think of abortion.,How men feel about abortion,Bahrain
"men,divorce","men,divorce,Bahrain",Summarize what most men in Bahrain think of divorce.,How men feel about divorce,Bahrain
"women,abortion","women,abortion,Bahrain",Summarize what most women in Bahrain think of abortion.,How women feel about abortion,Bahrain
"women,divorce","women,divorce,Bahrain",Summarize what most women in Bahrain think of divorce.,How women feel about divorce,Bahrain
"men,abortion","men,abortion,The Bahamas",Summarize what most men in The Bahamas think of abortion.,How men feel about abortion,The Bahamas
"men,divorce","men,divorce,The Bahamas",Summarize what most men in The Bahamas think of divorce.,How men feel about divorce,The Bahamas
"women,abortion","women,abortion,The Bahamas",Summarize what most women in The Bahamas think of abortion.,How women feel about abortion,The Bahamas
"women,divorce","women,divorce,The Bahamas",Summarize what most women in The Bahamas think of divorce.,How women feel about divorce,The Bahamas
"men,abortion","men,abortion,Bosnia and Herzegovina",Summarize what most men in Bosnia and Herzegovina think of abortion.,How men feel about abortion,Bosnia and Herzegovina
"men,divorce","men,divorce,Bosnia and Herzegovina",Summarize what most men in Bosnia and Herzegovina think of divorce.,How men feel about divorce,Bosnia and Herzegovina
"women,abortion","women,abortion,Bosnia and Herzegovina",Summarize what most women in Bosnia and Herzegovina think of abortion.,How women feel about abortion,Bosnia and Herzegovina
"women,divorce","women,divorce,Bosnia and Herzegovina",Summarize what most women in Bosnia and Herzegovina think of divorce.,How women feel about divorce,Bosnia and Herzegovina
"men,abortion","men,abortion,Belarus",Summarize what most men in Belarus think of abortion.,How men feel about abortion,Belarus
"men,divorce","men,divorce,Belarus",Summarize what most men in Belarus think of divorce.,How men feel about divorce,Belarus
"women,abortion","women,abortion,Belarus",Summarize what most women in Belarus think of abortion.,How women feel about abortion,Belarus
"women,divorce","women,divorce,Belarus",Summarize what most women in Belarus think of divorce.,How women feel about divorce,Belarus
"men,abortion","men,abortion,Belize",Summarize what most men in Belize think of abortion.,How men feel about abortion,Belize
"men,divorce","men,divorce,Belize",Summarize what most men in Belize think of divorce.,How men feel about divorce,Belize
"women,abortion","women,abortion,Belize",Summarize what most women in Belize think of abortion.,How women feel about abortion,Belize
"women,divorce","women,divorce,Belize",Summarize what most women in Belize think of divorce.,How women feel about divorce,Belize
"men,abortion","men,abortion,Bolivia",Summarize what most men in Bolivia think of abortion.,How men feel about abortion,Bolivia
"men,divorce","men,divorce,Bolivia",Summarize what most men in Bolivia think of divorce.,How men feel about divorce,Bolivia
"women,abortion","women,abortion,Bolivia",Summarize what most women in Bolivia think of abortion.,How women feel about abortion,Bolivia
"women,divorce","women,divorce,Bolivia",Summarize what most women in Bolivia think of divorce.,How women feel about divorce,Bolivia
"men,abortion","men,abortion,Brazil",Summarize what most men in Brazil think of abortion.,How men feel about abortion,Brazil
"men,divorce","men,divorce,Brazil",Summarize what most men in Brazil think of divorce.,How men feel about divorce,Brazil
"women,abortion","women,abortion,Brazil",Summarize what most women in Brazil think of abortion.,How women feel about abortion,Brazil
"women,divorce","women,divorce,Brazil",Summarize what most women in Brazil think of divorce.,How women feel about divorce,Brazil
"men,abortion","men,abortion,Barbados",Summarize what most men in Barbados think of abortion.,How men feel about abortion,Barbados
"men,divorce","men,divorce,Barbados",Summarize what most men in Barbados think of divorce.,How men feel about divorce,Barbados
"women,abortion","women,abortion,Barbados",Summarize what most women in Barbados think of abortion.,How women feel about abortion,Barbados
"women,divorce","women,divorce,Barbados",Summarize what most women in Barbados think of divorce.,How women feel about divorce,Barbados
"men,abortion","men,abortion,Brunei",Summarize what most men in Brunei think of abortion.,How men feel about abortion,Brunei
"men,divorce","men,divorce,Brunei",Summarize what most men in Brunei think of divorce.,How men feel about divorce,Brunei
"women,abortion","women,abortion,Brunei",Summarize what most women in Brunei think of abortion.,How women feel about abortion,Brunei
"women,divorce","women,divorce,Brunei",Summarize what most women in Brunei think of divorce.,How women feel about divorce,Brunei
"men,abortion","men,abortion,Bhutan",Summarize what most men in Bhutan think of abortion.,How men feel about abortion,Bhutan
"men,divorce","men,divorce,Bhutan",Summarize what most men in Bhutan think of divorce.,How men feel about divorce,Bhutan
"women,abortion","women,abortion,Bhutan",Summarize what most women in Bhutan think of abortion.,How women feel about abortion,Bhutan
"women,divorce","women,divorce,Bhutan",Summarize what most women in Bhutan think of divorce.,How women feel about divorce,Bhutan
"men,abortion","men,abortion,Botswana",Summarize what most men in Botswana think of abortion.,How men feel about abortion,Botswana
"men,divorce","men,divorce,Botswana",Summarize what most men in Botswana think of divorce.,How men feel about divorce,Botswana
"women,abortion","women,abortion,Botswana",Summarize what most women in Botswana think of abortion.,How women feel about abortion,Botswana
"women,divorce","women,divorce,Botswana",Summarize what most women in Botswana think of divorce.,How women feel about divorce,Botswana
"men,abortion","men,abortion,Central African Republic",Summarize what most men in Central African Republic think of abortion.,How men feel about abortion,Central African Republic
"men,divorce","men,divorce,Central African Republic",Summarize what most men in Central African Republic think of divorce.,How men feel about divorce,Central African Republic
"women,abortion","women,abortion,Central African Republic",Summarize what most women in Central African Republic think of abortion.,How women feel about abortion,Central African Republic
"women,divorce","women,divorce,Central African Republic",Summarize what most women in Central African Republic think of divorce.,How women feel about divorce,Central African Republic
"men,abortion","men,abortion,Canada",Summarize what most men in Canada think of abortion.,How men feel about abortion,Canada
"men,divorce","men,divorce,Canada",Summarize what most men in Canada think of divorce.,How men feel about divorce,Canada
"women,abortion","women,abortion,Canada",Summarize what most women in Canada think of abortion.,How women feel about abortion,Canada
"women,divorce","women,divorce,Canada",Summarize what most women in Canada think of divorce.,How women feel about divorce,Canada
"men,abortion","men,abortion,Switzerland",Summarize what most men in Switzerland think of abortion.,How men feel about abortion,Switzerland
"men,divorce","men,divorce,Switzerland",Summarize what most men in Switzerland think of divorce.,How men feel about divorce,Switzerland
"women,abortion","women,abortion,Switzerland",Summarize what most women in Switzerland think of abortion.,How women feel about abortion,Switzerland
"women,divorce","women,divorce,Switzerland",Summarize what most women in Switzerland think of divorce.,How women feel about divorce,Switzerland
"men,abortion","men,abortion,Chile",Summarize what most men in Chile think of abortion.,How men feel about abortion,Chile
"men,divorce","men,divorce,Chile",Summarize what most men in Chile think of divorce.,How men feel about divorce,Chile
"women,abortion","women,abortion,Chile",Summarize what most women in Chile think of abortion.,How women feel about abortion,Chile
"women,divorce","women,divorce,Chile",Summarize what most women in Chile think of divorce.,How women feel about divorce,Chile
"men,abortion","men,abortion,China",Summarize what most men in China think of abortion.,How men feel about abortion,China
"men,divorce","men,divorce,China",Summarize what most men in China think of divorce.,How men feel about divorce,China
"women,abortion","women,abortion,China",Summarize what most women in China think of abortion.,How women feel about abortion,China
"women,divorce","women,divorce,China",Summarize what most women in China think of divorce.,How women feel about divorce,China
"men,abortion","men,abortion,Ivory Coast",Summarize what most men in Ivory Coast think of abortion.,How men feel about abortion,Ivory Coast
"men,divorce","men,divorce,Ivory Coast",Summarize what most men in Ivory Coast think of divorce.,How men feel about divorce,Ivory Coast
"women,abortion","women,abortion,Ivory Coast",Summarize what most women in Ivory Coast think of abortion.,How women feel about abortion,Ivory Coast
"women,divorce","women,divorce,Ivory Coast",Summarize what most women in Ivory Coast think of divorce.,How women feel about divorce,Ivory Coast
"men,abortion","men,abortion,Cameroon",Summarize what most men in Cameroon think of abortion.,How men feel about abortion,Cameroon
"men,divorce","men,divorce,Cameroon",Summarize what most men in Cameroon think of divorce.,How men feel about divorce,Cameroon
"women,abortion","women,abortion,Cameroon",Summarize what most women in Cameroon think of abortion.,How women feel about abortion,Cameroon
"women,divorce","women,divorce,Cameroon",Summarize what most women in Cameroon think of divorce.,How women feel about divorce,Cameroon
"men,abortion","men,abortion,Democratic Republic of the Congo",Summarize what most men in Democratic Republic of the Congo think of abortion.,How men feel about abortion,Democratic Republic of the Congo
"men,divorce","men,divorce,Democratic Republic of the Congo",Summarize what most men in Democratic Republic of the Congo think of divorce.,How men feel about divorce,Democratic Republic of the Congo
"women,abortion","women,abortion,Democratic Republic of the Congo",Summarize what most women in Democratic Republic of the Congo think of abortion.,How women feel about abortion,Democratic Republic of the Congo
"women,divorce","women,divorce,Democratic Republic of the Congo",Summarize what most women in Democratic Republic of the Congo think of divorce.,How women feel about divorce,Democratic Republic of the Congo
"men,abortion","men,abortion,Republic of Congo",Summarize what most men in Republic of Congo think of abortion.,How men feel about abortion,Republic of Congo
"men,divorce","men,divorce,Republic of Congo",Summarize what most men in Republic of Congo think of divorce.,How men feel about divorce,Republic of Congo
"women,abortion","women,abortion,Republic of Congo",Summarize what most women in Republic of Congo think of abortion.,How women feel about abortion,Republic of Congo
"women,divorce","women,divorce,Republic of Congo",Summarize what most women in Republic of Congo think of divorce.,How women feel about divorce,Republic of Congo
"men,abortion","men,abortion,New Zealand",Summarize what most men in New Zealand think of abortion.,How men feel about abortion,New Zealand
"men,divorce","men,divorce,New Zealand",Summarize what most men in New Zealand think of divorce.,How men feel about divorce,New Zealand
"women,abortion","women,abortion,New Zealand",Summarize what most women in New Zealand think of abortion.,How women feel about abortion,New Zealand
"women,divorce","women,divorce,New Zealand",Summarize what most women in New Zealand think of divorce.,How women feel about divorce,New Zealand
"men,abortion","men,abortion,Colombia",Summarize what most men in Colombia think of abortion.,How men feel about abortion,Colombia
"men,divorce","men,divorce,Colombia",Summarize what most men in Colombia think of divorce.,How men feel about divorce,Colombia
"women,abortion","women,abortion,Colombia",Summarize what most women in Colombia think of abortion.,How women feel about abortion,Colombia
"women,divorce","women,divorce,Colombia",Summarize what most women in Colombia think of divorce.,How women feel about divorce,Colombia
"men,abortion","men,abortion,Comoros",Summarize what most men in Comoros think of abortion.,How men feel about abortion,Comoros
"men,divorce","men,divorce,Comoros",Summarize what most men in Comoros think of divorce.,How men feel about divorce,Comoros
"women,abortion","women,abortion,Comoros",Summarize what most women in Comoros think of abortion.,How women feel about abortion,Comoros
"women,divorce","women,divorce,Comoros",Summarize what most women in Comoros think of divorce.,How women feel about divorce,Comoros
"men,abortion","men,abortion,Cape Verde",Summarize what most men in Cape Verde think of abortion.,How men feel about abortion,Cape Verde
"men,divorce","men,divorce,Cape Verde",Summarize what most men in Cape Verde think of divorce.,How men feel about divorce,Cape Verde
"women,abortion","women,abortion,Cape Verde",Summarize what most women in Cape Verde think of abortion.,How women feel about abortion,Cape Verde
"women,divorce","women,divorce,Cape Verde",Summarize what most women in Cape Verde think of divorce.,How women feel about divorce,Cape Verde
"men,abortion","men,abortion,Costa Rica",Summarize what most men in Costa Rica think of abortion.,How men feel about abortion,Costa Rica
"men,divorce","men,divorce,Costa Rica",Summarize what most men in Costa Rica think of divorce.,How men feel about divorce,Costa Rica
"women,abortion","women,abortion,Costa Rica",Summarize what most women in Costa Rica think of abortion.,How women feel about abortion,Costa Rica
"women,divorce","women,divorce,Costa Rica",Summarize what most women in Costa Rica think of divorce.,How women feel about divorce,Costa Rica
"men,abortion","men,abortion,Cuba",Summarize what most men in Cuba think of abortion.,How men feel about abortion,Cuba
"men,divorce","men,divorce,Cuba",Summarize what most men in Cuba think of divorce.,How men feel about divorce,Cuba
"women,abortion","women,abortion,Cuba",Summarize what most women in Cuba think of abortion.,How women feel about abortion,Cuba
"women,divorce","women,divorce,Cuba",Summarize what most women in Cuba think of divorce.,How women feel about divorce,Cuba
"men,abortion","men,abortion,Northern Cyprus",Summarize what most men in Northern Cyprus think of abortion.,How men feel about abortion,Northern Cyprus
"men,divorce","men,divorce,Northern Cyprus",Summarize what most men in Northern Cyprus think of divorce.,How men feel about divorce,Northern Cyprus
"women,abortion","women,abortion,Northern Cyprus",Summarize what most women in Northern Cyprus think of abortion.,How women feel about abortion,Northern Cyprus
"women,divorce","women,divorce,Northern Cyprus",Summarize what most women in Northern Cyprus think of divorce.,How women feel about divorce,Northern Cyprus
"men,abortion","men,abortion,Cyprus",Summarize what most men in Cyprus think of abortion.,How men feel about abortion,Cyprus
"men,divorce","men,divorce,Cyprus",Summarize what most men in Cyprus think of divorce.,How men feel about divorce,Cyprus
"women,abortion","women,abortion,Cyprus",Summarize what most women in Cyprus think of abortion.,How women feel about abortion,Cyprus
"women,divorce","women,divorce,Cyprus",Summarize what most women in Cyprus think of divorce.,How women feel about divorce,Cyprus
"men,abortion","men,abortion,Czech Republic",Summarize what most men in Czech Republic think of abortion.,How men feel about abortion,Czech Republic
"men,divorce","men,divorce,Czech Republic",Summarize what most men in Czech Republic think of divorce.,How men feel about divorce,Czech Republic
"women,abortion","women,abortion,Czech Republic",Summarize what most women in Czech Republic think of abortion.,How women feel about abortion,Czech Republic
"women,divorce","women,divorce,Czech Republic",Summarize what most women in Czech Republic think of divorce.,How women feel about divorce,Czech Republic
"men,abortion","men,abortion,Germany",Summarize what most men in Germany think of abortion.,How men feel about abortion,Germany
"men,divorce","men,divorce,Germany",Summarize what most men in Germany think of divorce.,How men feel about divorce,Germany
"women,abortion","women,abortion,Germany",Summarize what most women in Germany think of abortion.,How women feel about abortion,Germany
"women,divorce","women,divorce,Germany",Summarize what most women in Germany think of divorce.,How women feel about divorce,Germany
"men,abortion","men,abortion,Djibouti",Summarize what most men in Djibouti think of abortion.,How men feel about abortion,Djibouti
"men,divorce","men,divorce,Djibouti",Summarize what most men in Djibouti think of divorce.,How men feel about divorce,Djibouti
"women,abortion","women,abortion,Djibouti",Summarize what most women in Djibouti think of abortion.,How women feel about abortion,Djibouti
"women,divorce","women,divorce,Djibouti",Summarize what most women in Djibouti think of divorce.,How women feel about divorce,Djibouti
"men,abortion","men,abortion,Dominica",Summarize what most men in Dominica think of abortion.,How men feel about abortion,Dominica
"men,divorce","men,divorce,Dominica",Summarize what most men in Dominica think of divorce.,How men feel about divorce,Dominica
"women,abortion","women,abortion,Dominica",Summarize what most women in Dominica think of abortion.,How women feel about abortion,Dominica
"women,divorce","women,divorce,Dominica",Summarize what most women in Dominica think of divorce.,How women feel about divorce,Dominica
"men,abortion","men,abortion,Denmark",Summarize what most men in Denmark think of abortion.,How men feel about abortion,Denmark
"men,divorce","men,divorce,Denmark",Summarize what most men in Denmark think of divorce.,How men feel about divorce,Denmark
"women,abortion","women,abortion,Denmark",Summarize what most women in Denmark think of abortion.,How women feel about abortion,Denmark
"women,divorce","women,divorce,Denmark",Summarize what most women in Denmark think of divorce.,How women feel about divorce,Denmark
"men,abortion","men,abortion,Dominican Republic",Summarize what most men in Dominican Republic think of abortion.,How men feel about abortion,Dominican Republic
"men,divorce","men,divorce,Dominican Republic",Summarize what most men in Dominican Republic think of divorce.,How men feel about divorce,Dominican Republic
"women,abortion","women,abortion,Dominican Republic",Summarize what most women in Dominican Republic think of abortion.,How women feel about abortion,Dominican Republic
"women,divorce","women,divorce,Dominican Republic",Summarize what most women in Dominican Republic think of divorce.,How women feel about divorce,Dominican Republic
"men,abortion","men,abortion,Algeria",Summarize what most men in Algeria think of abortion.,How men feel about abortion,Algeria
"men,divorce","men,divorce,Algeria",Summarize what most men in Algeria think of divorce.,How men feel about divorce,Algeria
"women,abortion","women,abortion,Algeria",Summarize what most women in Algeria think of abortion.,How women feel about abortion,Algeria
"women,divorce","women,divorce,Algeria",Summarize what most women in Algeria think of divorce.,How women feel about divorce,Algeria
"men,abortion","men,abortion,Ecuador",Summarize what most men in Ecuador think of abortion.,How men feel about abortion,Ecuador
"men,divorce","men,divorce,Ecuador",Summarize what most men in Ecuador think of divorce.,How men feel about divorce,Ecuador
"women,abortion","women,abortion,Ecuador",Summarize what most women in Ecuador think of abortion.,How women feel about abortion,Ecuador
"women,divorce","women,divorce,Ecuador",Summarize what most women in Ecuador think of divorce.,How women feel about divorce,Ecuador
"men,abortion","men,abortion,Egypt",Summarize what most men in Egypt think of abortion.,How men feel about abortion,Egypt
"men,divorce","men,divorce,Egypt",Summarize what most men in Egypt think of divorce.,How men feel about divorce,Egypt
"women,abortion","women,abortion,Egypt",Summarize what most women in Egypt think of abortion.,How women feel about abortion,Egypt
"women,divorce","women,divorce,Egypt",Summarize what most women in Egypt think of divorce.,How women feel about divorce,Egypt
"men,abortion","men,abortion,Eritrea",Summarize what most men in Eritrea think of abortion.,How men feel about abortion,Eritrea
"men,divorce","men,divorce,Eritrea",Summarize what most men in Eritrea think of divorce.,How men feel about divorce,Eritrea
"women,abortion","women,abortion,Eritrea",Summarize what most women in Eritrea think of abortion.,How women feel about abortion,Eritrea
"women,divorce","women,divorce,Eritrea",Summarize what most women in Eritrea think of divorce.,How women feel about divorce,Eritrea
"men,abortion","men,abortion,Spain",Summarize what most men in Spain think of abortion.,How men feel about abortion,Spain
"men,divorce","men,divorce,Spain",Summarize what most men in Spain think of divorce.,How men feel about divorce,Spain
"women,abortion","women,abortion,Spain",Summarize what most women in Spain think of abortion.,How women feel about abortion,Spain
"women,divorce","women,divorce,Spain",Summarize what most women in Spain think of divorce.,How women feel about divorce,Spain
"men,abortion","men,abortion,Estonia",Summarize what most men in Estonia think of abortion.,How men feel about abortion,Estonia
"men,divorce","men,divorce,Estonia",Summarize what most men in Estonia think of divorce.,How men feel about divorce,Estonia
"women,abortion","women,abortion,Estonia",Summarize what most women in Estonia think of abortion.,How women feel about abortion,Estonia
"women,divorce","women,divorce,Estonia",Summarize what most women in Estonia think of divorce.,How women feel about divorce,Estonia
"men,abortion","men,abortion,Ethiopia",Summarize what most men in Ethiopia think of abortion.,How men feel about abortion,Ethiopia
"men,divorce","men,divorce,Ethiopia",Summarize what most men in Ethiopia think of divorce.,How men feel about divorce,Ethiopia
"women,abortion","women,abortion,Ethiopia",Summarize what most women in Ethiopia think of abortion.,How women feel about abortion,Ethiopia
"women,divorce","women,divorce,Ethiopia",Summarize what most women in Ethiopia think of divorce.,How women feel about divorce,Ethiopia
"men,abortion","men,abortion,Fiji",Summarize what most men in Fiji think of abortion.,How men feel about abortion,Fiji
"men,divorce","men,divorce,Fiji",Summarize what most men in Fiji think of divorce.,How men feel about divorce,Fiji
"women,abortion","women,abortion,Fiji",Summarize what most women in Fiji think of abortion.,How women feel about abortion,Fiji
